group,species,n_records,cover
Grass,Festuca ovina,6,20.5
Grass,Brachypodium pinnatum,102,17.774509803921568
Legume,Lotus corniculatus,110,15.946363636363637
Grass,Trisetum flavescens,101,12.663366336633663
Forb,Galium mollugo,17,11.882352941176471
Grass,Festuca rubra,76,10.657894736842104
Grass,Brachypodium sylvaticum,83,8.940963855421687
Grass,Agrostis capillaris,22,8.5
NA,Festuca rubra,17,7.823529411764706
Legume,Trifolium repens,131,7.245038167938931
Grass,Arrhenatherum elatius,119,7.076470588235294
Legume,Medicago lupulina,110,6.703636363636364
Grass,Bromus erectus,9,6.444444444444445
Grass,Poa pratensis,27,6.155555555555556
Forb,Clinopodium vulgare,124,5.8637096774193544
Forb,Potentilla reptans,109,5.680733944954128
Legume,Trifolium pratense,92,5.502173913043478
Forb,Knautia arvensis,17,5.117647058823529
NA,Elytrigia repens,1,5
Grass,Dactylis glomerata,89,4.968539325842697
Forb,Galium verum,62,4.779032258064516
Forb,Cirsium eriophorum,22,4.7727272727272725
Forb,Geranium pusillum,14,4.021428571428571
Forb,Hieracium aggregatum,1,4
Legume,Trifolium campestre,1,4
NA,Trisetum flavescens,14,3.857142857142857
Grass,Poa trivialis,62,3.7774193548387096
Forb,Centaurea scabiosa,4,3.775
Forb,Agrimonia eupatoria,93,3.678494623655914
Grass,Agrostis stolonifera,41,3.658536585365854
Forb,Primula veris,31,3.458064516129032
Grass,Holcus lanatus,111,3.433333333333333
NA,Galium album,4,3.25
Forb,Scorzoneroides autumnalis,30,3.24
Forb,Pastinaca sativa,90,3.033333333333333
Forb,Taraxacum sect vulgaria,38,3.031578947368421
Forb,Cirsium vulgare,4,3.025
Forb,Hypericum maculatum,4,3
Forb,Sorbus aria agg,1,3
Forb,Tussilago farfara,1,3
Woody,Rubus fruticosus,22,3
Woody,Crataegus monogyna,49,2.983673469387755
Grass,Bromus hordaceus,14,2.942857142857143
Forb,Jacobaea vulgaris,18,2.783333333333333
Grass,Bromus sterilis,32,2.659375
Forb,Sanguisorba minor,17,2.5941176470588236
Forb,Geranium dissectum,98,2.443877551020408
Forb,Centaurea nigra,6,2.35
Grass,Bromus commutatus,47,2.2148936170212767
Forb,Veronica chamaedrys,104,2.207692307692308
Forb,Linum catharticum,58,2.189655172413793
Forb,Glechoma hederacea,36,2.1194444444444445
Forb,Hypericum perforatum,85,2.111764705882353
NA,Agrimonia eupatoria,16,2.0625
Grass,Lolium perenne,52,2.019230769230769
Forb,Plantago media,1,2
Forb,Tephroseris integrifolia,1,2
NA,Rubus idaus,5,2
Forb,Crepis capillaris,90,1.981111111111111
Forb,Prunella vulgaris,58,1.9017241379310346
Grass,Carex flacca,29,1.8310344827586207
Legume,Vicia sativa,103,1.7922330097087378
Forb,Geranium columbinum,49,1.7775510204081633
Forb,Cerastium fontanum,56,1.7410714285714286
Grass,Helictotrichon pubescens,3,1.6666666666666667
Grass,Cynosurus cristatus,19,1.5789473684210527
Forb,Ranunculus acris,16,1.56875
Forb,Senecio jacobaea,11,1.5454545454545454
Grass,Luzula campestris,11,1.5454545454545454
NA,Rosa canina,2,1.5
Forb,Ranunculus parviflorus,5,1.42
Forb,Odontites vernus,10,1.41
Forb,Senecio erucifolius,30,1.4
NA,Taraxacum sect vulgaria,34,1.3823529411764706
Forb,Ranunculus bulbosus,4,1.25
Forb,Ranunculus repens,16,1.2
Forb,Tragopogon pratensis,27,1.1851851851851851
NA,Geranium columbinum,11,1.1818181818181819
Forb,Hypericum hirsutum,16,1.125
Forb,Rhinanthus minor,3,1.0666666666666667
Forb,Viola hirta,50,1.054
Grass,Bromus racemosus,3,1.0333333333333334
Forb,Anacamptis pyramidalis,12,1
Forb,Convolvulus arvensis,9,1
Forb,Helminthotheca echiodes,1,1
Forb,Lapsana communis,1,1
Forb,Leontodon hispidus,1,1
Forb,Myosotis arvensis,2,1
Forb,Orobanche minor,8,1
Forb,Rumex obtusifolius,1,1
Forb,Sonchus oleraceus,1,1
Grass,Phleum bertinolii,2,1
Legume,Vicia cracca,5,1
Woody,Fraxinus excelsior,4,1
NA,Anthriscus sylvestris,1,1
NA,Carex sylvatica,1,1
NA,Centaureum erythraea,1,1
NA,Cerastium fontanum,5,1
NA,Convolvulus arvensis,1,1
NA,Danthonia decumbens,1,1
NA,Geranium pusilum,2,1
NA,Hyacinthoides non scripta,3,1
NA,Leontodon autumnalis,1,1
NA,Sherardia arvensis,1,1
NA,Thymus praecox polytrichus,2,1
NA,Trifolium dubium,1,1
Legume,Vicia hirsuta,13,0.9307692307692308
Forb,Crepis biennis,4,0.775
Forb,Galium pumilum,4,0.775
Forb,Clematis vitalba,3,0.7
Forb,Leucanthemum vulgare,2,0.55
Forb,Calystegia sepium,1,0.1
Forb,Geranium lucidum,1,0.1
Grass,Alopecurus pratensis,1,0.1
Grass,Bellis perennis,1,0.1
Grass,Carex caryophyllea,2,0.1
Grass,Helictotrichon pratense,3,0.1
